compra_renta,tipo,precio,superficie,municipio
Venta,CASA EN VENTA EN APODACA NUEVO AMANECER 5 RECAMARAS,"$1,100,000",120 m²,Nuevo Amanecer
Venta,CASA EN PRE VENTA EN CARRETERA NACIONAL MONTERREY EN SIERRA ALTA LLAVE EN MANO,"$22,900,000",777 m²,Rincon del Valle Alto
Venta,CASA EN VENTA EN CARRETERA NACIONAL MONTERREY EN SIENNA RESIDENCIAL,"$12,450,000",336 m²,Sin Nombre de Col 51
Venta,CASA EN VENTA EN HACIENDAS DE ESCOBEDO FRENTE A PARQUE EN ESQUINA Y DE 1 NIVEL,"$980,000",90 m²,Hacienda de Escobedo
Venta,DEPARTAMENTO EN VENTA EN SAN NICOLAS DE LOS GARZA EN LA PROEZA CON AMENIDADES,"$3,620,000",79 m²,Residencial Potrero de Anahuac
Venta,CASA EN VENTA EN SAN PEDRO GARZA EN FUENTES DEL VALLE NUEVA Y EQUIPADA,"$31,800,000",480 m²,Fuentes del Valle
Venta,CASA EN VENTA EN GUADALUPE TRES CAMINOS FUNCIONA COMO ESCUELA SOLO PAGO CONTADO,"$1,000,000",105 m²,Tres Caminos 1er Sector
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL LA JOYA PRIVADA RESIDENCIAL,"$14,300,000",468 m²,La Joya Privada Residencial
Venta,CASA EN VENTA EN SAN PEDRO GARZA GARCIA EN LA DEL VALLE,"$34,500,000",453 m²,Del Valle
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL CAROLCO,"$12,980,000",330 m²,Monterrey
Venta,CASA CON ALBERCA EN VENTA EN MONTERREY LA JOYA PRIVADA MAGNOLIA CON ALBERCA,"$14,750,000",468 m²,Sin Nombre de Col 51
Venta,CASA EN VENTA EN JUAREZ EN EX HACIENDA EL ROSARIO,"$1,000,000",107 m²,Ex Hacienda El Rosario
Venta,CASA EN VENTA VILLAS REGINA EN PESQUERIA,"$550,000",90 m²,VILLAS REGINA
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,887,420",38-92 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,Departamento en Venta en Valle Poniente,"$18,800,000",398 m²,Santa Catarina
Venta,"Venta de Casa, muy amplia, Centro de Guadalupe, Col. Del Maestro","$2,300,000",172 m²,Del Maestro
Venta,DEPARTAMENTO EN VENTA EN OBISPADO,"$6,390,000",,Obispado
Venta,CASA EN VENTA EN APODACA EN VALLE DE PALMAS,"$1,695,000",120 m²,Cd Apodaca
