compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,RZ VENTA DE DEPARTAMENTO EN MONTERREYMO,"$3,190,000",72 m²,Centro,2,2
Venta,RZ VENTA DE DEPARTAMENTO EN CENTRO DE MONTERREY NL,"$4,142,000",94 m²,Centro,2,2
Venta,Departamento en venta en Monterrey,"$2,713,229",59 m²,Centro,2,2
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,Departamentos Venta Santa Catarina Zona Santa Catarina 27-DV-4502,"$2,450,000",64 m²,Pedregal de la Huasteca,2,2
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$4,870,000",,Sin Nombre de Col 31,2,2
Venta,DEPARTAMENTO EN VENTA EN CAMINO REAL FOVISSTE EN GUADALUPE,"$1,050,000",,Camino Real Fovissste,3,1
Venta,"Preventa de departamentos, Valle Oriente, Monterrey NL, desde 1 recámara","$2,857,233",43 m²,Burócratas Municipales,1,1
Venta,"VENTA DEPARTAMENTO CENTRO MONTERREY, NUEVO LEON","$2,300,000",41 m²,Regina,1,1
Venta,"VENTA DEPARTAMENTO EN EL CENTRO AL NORTE DE LA CIUDAD DE MONTERREY, NUEVO LEON.","$2,300,000",41 m²,Regina,1,1
Venta,DEPARTAMENTO AMUEBLADO EN VENTA,"$1,800,000",,Monterrey,2,2
Venta,Departamento en Venta Monterrey Centro,"$2,539,155",50 m²,Independencia,2,1
Venta,Departamento  en Valle de San Angel Sector Frances en San  Pedro Garza Garcia,"$27,000,000",,Valle de San Angel Sector Francés,3,3
Venta,Departamento en preventa Montevo,"$3,155,326",,Ampliación Valle del Mirador,2,2
Venta,Departamento en venta Condotec,"$5,700,000",,Tecnológico,2,2
Venta,"Departamento en Venta, Centro de Monterrey","$4,150,000",,Centro,3,2
Venta,PREVENTA DEPARTAMENTO GAIA TORRE 2 EN MONTERREY CARRETERA NACIONAL,"$3,647,285",,Monterrey,2,2
