compra_renta,tipo,precio,superficie,municipio
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,MISION DE LOS ANGELES (Apodaca),"$2,400,000",105 m²,N.L.
Venta,"CASA EN VENTA EN NUEVA CADEREYTA , CADEREYTA JIMENEZ,NUEVO LEÓN","$950,000",316 m²,Nueva Cadereyta
Venta,Casa en venta en Jardines del Rey Monterrey,"$1,380,000",144 m²,Barrio San Pedro
Venta,AO VENTA DE CASA EN RINCON DE LA SIERRA ALTA,"$17,500,000",390 m²,Monterrey
Venta,AS VENTA DE CASA EN GARDENIAS JUAREZ NUEVO LEON,"$820,000",90 m²,Jardines de la Silla
Venta,AS VENTA DE CASA EN JUAREZ NUEVO LEON,"$650,000",72 m²,Valle Sur
Venta,LFG VENTA DE CASA EN LOS PARQUES GARCIA,"$920,000",110 m²,Parques Diamante
Venta,RZ VENTA DE CASA EN COLONIA DEL VALLE SAN PEDRO,"$21,000,000",675 m²,Del Valle
Venta,AL VENTA DE CASA EN ARROYO SECO,"$10,000,000",322 m²,Santa Catarina
Venta,RZ VENTA DE CASA EN CENTRITO VALLE EN SAN PEDRO,"$18,000,000",335 m²,Del Valle
Venta,LZ VENTA DE CASA EN PASEO SANTA ROSA,"$1,060,000",90 m²,Paseo de Santa Rosa
Venta,PS VENTA DE CASA EN FONTANARES CHURUBUSCO MONTERRE,"$4,500,000",145 m²,Monterrey
Venta,LI VENTA DE CASA EN REAL EN PASEO DE SAN MIGUEL,"$1,550,000",105 m²,Paseo de San Miguel
Venta,YG VENTA DE CASA EN ESQUINA EN LOS PARQUES,"$720,000",110 m²,Parques Diamante
Venta,IP VENTA DE CASA NUEVA EN SANTA ROSA,"$1,034,960",106 m²,Cd Apodaca
Venta,"CASA EN VENTA LA FAMA, SANTA CATARINA","$1,700,000",160 m²,Fama II
Venta,DEPARTAMENTO AMUEBLADO EN VENTA,"$1,800,000",,Monterrey
Venta,Casa en Venta Col. Residencial San Nicolás!,"$2,200,000",105 m²,San Nicolas
Venta,Departamento  en Valle de San Angel Sector Frances en San  Pedro Garza Garcia,"$27,000,000",,Valle de San Angel Sector Francés
Venta,"PRO5385 Casas en Venta, Amorada en Santiago","$7,050,000",289 m²,Los Rodríguez
Venta,"PRO5382 Casas en Venta, Residencial San Agustin en San Pedro Garza Garcia","$14,200,000",272 m²,Residencial San Agustín 1er Sector
Venta,CASA  EN VENTA ZONA CUMBRES / MITRAS MONTERREY,"$1,950,000",68 m²,Valle de Infonavit
Venta,Casa en Venta Col INFONAVIT LA JOYA Guadalupe Nuevo Leon,"$1,785,000",108 m²,Infonavit La Joya
