compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,CASA EN VENTA EN SAN PEDRO GARZA EN FUENTES DEL VALLE NUEVA Y EQUIPADA,"$31,800,000",480 m²,Fuentes del Valle,4,4+
Venta,CASA EN VENTA EN PESQUERIA EN SANTA ENGRACIA,"$506,000",90 m²,Ladrillera,2,1
Venta,CASA CON ALBERCA EN VENTA CUMBRES 3er SECTOR MONTERREY EQUIPADA DE 3 NIVELES,"$13,800,000",375 m²,Monterrey,4,4+
Venta,CASA EN VENTA EN SAN PEDRO GARZA GARCIA EN LA DEL VALLE,"$34,500,000",453 m²,Del Valle,3,4+
Venta,CASA EN VENTA EN MONTERREY EN LA JOYA RESIDENCIAL,"$10,300,000",290 m²,Sin Nombre de Col 51,3,3
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL CAROLCO,"$12,980,000",330 m²,Monterrey,4,4+
Venta,CASA EN VENTA VILLAS REGINA EN PESQUERIA,"$550,000",90 m²,VILLAS REGINA,2,1
Venta,CASA EN VENTA EN APODACA NUEVO AMANECER 5 RECAMARAS,"$1,100,000",120 m²,Nuevo Amanecer,5,2
Venta,CASA EN VENTA EN CARRETERA NACIONAL MONTERREY EN SIENNA RESIDENCIAL EQUIPADA,"$10,250,000",306 m²,Sin Nombre de Col 51,4,4+
Venta,CASA EN VENTA EN APODACA VALLE LA RIOJA EQUIPADA,"$2,130,000",105 m²,Valle La Rioja,3,2
Venta,CASA EN PRE VENTA EN CARRETERA NACIONAL MONTERREY EN SIERRA ALTA LLAVE EN MANO,"$22,900,000",777 m²,Rincon del Valle Alto,5,4+
Venta,CASA EN VENTA EN CARRETERA NACIONAL MONTERREY EN SIENNA RESIDENCIAL,"$12,450,000",336 m²,Sin Nombre de Col 51,3,4+
Venta,CASA EN VENTA EN APODACA EN ARBOLEDAS DE SANTA ROSA 3 RECAMARAS,"$1,500,000",90 m²,N.L.,3,2
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,Casa Cumbres 2do sector,"$7,900,000",400 m²,Cumbres Elite 2do. Sector,6+,
Venta,"Espectacular Casa en Venta en Santoral, García","$4,399,000",170 m²,N.L.,3,4+
Venta,CASA EN VENTA MONTERREY CENTRO,"$2,100,000",138 m²,Centro,6+,
Venta,CASA EN VENTA EN JUAREZ EN PORTAL DE VAQUERIAS 3 NIVELES,"$1,200,000",91 m²,Col. Portal de Vaquerías,2,2
Venta,CASA EN RENTA EN CARRETERA NACIONAL EN VALLE DE CRISTAL EN MONTERREY CON ALBERCA,"$54,000",1 m²,Las Jaras,3,4+
Venta,CASA EN VENTA EN MONTERREY RESIDENCIAL FLORIDA 5 RECAMARAS,"$5,000,000",200 m²,Residencial La Florida,5,3
Venta,CASA EN VENTA EN MONTERREY BARRIO ESTRELLA 3 NIVELES Y EQUIPADA,"$1,895,000",90 m²,Barrio Estrella,3,2
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL LA JOYA PRIVADA RESIDENCIAL,"$21,500,000",424 m²,La Joya Privada Residencial,4,4+
Venta,CASA EN VENTA EN SAN NICOLAS VALLE DEL MEZQUITAL 5 RECAMARAS,"$1,350,000",105 m²,Valle del Mezquital,5,2
Venta,CASA EN VENTA EN GUADALUPE RAFAEL RAMIREZ 4 RECAMARAS,"$1,550,000",189 m²,Rafael Ramírez (U.c.),4,2
Venta,CASA EN VENTA EN GUADALUPE EN VALLE DE CONTRY OPORTUNIDAD,"$4,320,000",134 m²,Valle del Contry 2o Sector,3,4+
Venta,CASA EN VENTA EN JUAREZ EN PRIVADA LOS CYRANOS EN NUEVO LEON CON EXCEDENTE,"$690,000",124 m²,Mirador,2,1
Venta,CASA EN VENTA EN JUAREZ ZONA CENTRO 4 RECAMARAS,"$950,000",1 m²,Centro de Benito Juárez,4,2
Venta,CASA EN VENTA EN CARRETERA NACIONAL EN LA JOYA A ESTRENAR,"$12,000,000",294 m²,La Joya Privada Residencial,3,4+
Venta,"Venta Casa en Cumbres Santoral, García","$3,900,000",161 m²,N.L.,3,4+
Venta,"Residencia en Venta Santoral III, García","$4,700,000",144 m²,N.L.,4,4+
Venta,"Casa Nueva Super Equipada en Cumbres Elite Premier, García","$5,300,000",144 m²,Sarabia,4,4+
Venta,"Fabulosa Casa en Venta en Cumbres Élite Premier en Pirineos, García","$4,950,000",146 m²,N.L.,3,4+
Venta,"Casa en Venta Cumbres Santoral 2, García, Nuevo León","$4,390,000",152 m²,N.L.,4,3
Venta,"Casa en Venta Nueva Equipada en Santoral, , García","$4,150,000",152 m²,N.L.,3,4+
Venta,"Casa Nueva Venta Cumbres Santoral Habitación Planta Baja, García","$4,390,000",152 m²,N.L.,3,3
Venta,"Casa en Venta Thessalia a 3 min Carretera Nacional, Monterrey","$5,780,000",160 m²,Pedregal La Silla,3,4+
Venta,"Estrena Casa en Venta Santoral con Gran Diseño , García","$4,100,000",152 m²,N.L.,3,4+
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,Casa en Venta en Colinas del Huajuco,"$4,520,000",292 m²,Portal del Huajuco,3,2
Venta,AO VENTA DE CASA EN ESCOBEDO CON ALBERCA,"$3,500,000",133 m²,Sin Nombre de Col 15,3,3
